Название,Описание проекта,Результат/Цель 
Financial Calculator,"Визуальная новелла, написанная на RenPy. Есть две реализации проекта: веб-приложение и desktop-приложение. В первом случае игра запускается онлайн (из технологий используются html, css, движок RenPy), во втором - игру необходимо скачивать на ПК (из технологий используется только RenPy).

Визуальная новелла, написанная с нуля на Python. Аналогичная поддержка веб-версии и desktop-версии.","Разработка игры (визуальной новеллы), обучающей финансовой грамотности. 
Игра (визуальная новелла) с разветвленным сюжетом, множеством концовок. Форматы: веб-приложение, desktop-приложение."
Мониторинг сервисов оценки приложение AppStore/PlayMarket для интеграций статистики,"Пользователь вводит название приложения, у него отображается статистика по приложению оценки по версиям приложения, отзывы о приложении с пометкой из какого маркета получен отзыв, также в случае необходимо есть API для интеграции со внешними системами, например slack
 Дополнительную информацию можно получить в обсуждении с заказчиком проекта","Целью проекта является создание сервиса с возможностью получение оценок и отзывов пользователей из сервисов AppStore и PlayMarket для анализа пользовательского поведения и сырых патчей Сервис, в котором на вход подаётся название приложение в маркетах, на выходе отображается версия приложения, на которую составляется отзыв, имя пользователя маркета и оценка, а также графики оценки по версиям и API для подключения отдельных сервисов"
Мониторинг IT-конференций,"Сервис содержит актуальные и прошедшие (до 1 года) конференции и видео с них. Пользователь может посмотреть видео через сервис, при остановке видео – сохраняется минута, на которой пользователь остановил видео. При появлении новых конференций по специальности пользователя, пользователю приходит оповещение на почту.
 Дополнительную информацию можно получить из диалога с заказчиком.","Целью проекта является сервис, в котором будет храниться вся информация по предстоящим и завершенным IT конференциям в России и/или СНГ. Сервис, в котором пользователь, после регистрации может смотреть видео с конференций, добавлять в избранное и сохранять конференции, связанные с IT (TeamLead conf, Yandex.Talks и другие)."
Проект 360 оценка сотрудников,С особенностями проекта можно ознакомиться по ссылке https://proaction.pro/metod-ozenki-360-gradusov и в личной беседе с заказчиком проекта.,"Целью проекта является сервис с опросами коллег о своей профессиональной деятельности. Создать сервис, в котором каждый сотрудник предприятия, группы лиц, имеет возможность анонимно опросить своих коллег о своей профессиональной пригодности. Это нужно, чтобы коллеги могли анонимно выразить критику и указать на ошибки работника, чтобы сотрудник мог исправить их в своей работе."
Система для стажировок в компании,"За основу можно взять дизайн решения готовых систем, как Trello. YouTrack, JIRA с agile-досками, добавить систему ролей, где стажёр имеет доступ только на выполнение задач и комментирование задач с ментором, а для остальных ролей доступ полного обсуждения.
 Дополнительную информацию можно получить в обсуждении с заказчиком проекта","Целью проекта является сервис для стажёров и менторов, где стажёры могут получать локальные задания и заметки по работе – чтение технической литературы, задачи и упражнения от ментора. Ментор может назначать задачи. Сервис, в котором менторы могут назначать задачи, устанавливать на них статусы, стажёры могут брать задачи в работу и выполнять их. Необходимо реализовать систему оценки стажёров и менторов, а также добавить роль администратора, который может делать связи стажёр-ментор и отслеживать работу обеих сторон."
"Симуляция дорожной ситуации в рамках светофорного комплекса ул. Серафимы Дерябиной, ул. начдива Онуфриева, ул. Вильгельма де Геннина, Объездной дороги и ее оптимизация",Создание симуляционной модели с использованием генетических алгоритмов или других методов оптимизации,"Создать симуляцию транспортных потоков в пределах указанного перекрестка и просчитать варианты оптимизации фаз комплекса светофоров.
 Ручной анализ транспортной ситуации в городе и оптимизация светофоров, является трудоемкой задачей. Предлагается создать инструмент для автоматической оптимизации дорожной ситуации. Результатом должна стать система, которая для задаваемой пользователем интенсивности движения по направлениям рассчитывает оптимальные фазы светофоров по направлениям. Предполагается создание 2d визуализации данной симуляции."
Создание инструмента сегментации улично-дорожной сети на основании данных ортофотосъемки,Предлагается использовать обучение сверточных нейронных сетей (convolutional neural network),"Создание инструмента определения осей (центров) улиц для дальнейшего использования в целях градостроительного проектирования и создания интеллектуальной транспортной системы (ИТС).
 Сверхцель: определить также ширину и количество полос движения улиц Инструмент, получающий на вход ортофотоплан местности, результатом работы (выходом) которого является векторный слой, содержащий оси улиц и, возможно, атрибутивную информацию о ширине улиц и количестве полос движения"
Аналитика цифровых образовательных материалов,,"Изучение, разметка, анализ и структуризация образовательных материалов по определенным разделам математики, доступных в виде онлайн-курсов и других тематических ресурсов. Аналитический отчет, система рекомендаций и целевой навигации по материалам"
Геймдизайн в математике,,"Исследование подходов к переводу математических задач в игровую форму. Создание подборок игрофицированных задач по различным тематикам. Дизайн-документы и описание игровых механик, подборки игрофицированных задач; доработка геймдизайна готовых игр"
Графика знаний,,"Исследование структуры знаний, размещенных в открытых общественно-формируемых источниках (wiki, формуы и пр.), и разработка графических (в т.ч. метафорических) способов их интерактивного представления Дизайн-проекты в Figma, аналитический отчет, программные прототипы"
